Name,Sound,Bus,Volume,PitchMin,PitchMax,bSpatial,Cooldown,Lead,Description
Whoosh_Light,/Game/Audio/Combat/S_Whoosh_Light.S_Whoosh_Light,Effects,0.55,0.94,1.08,True,0.03,0.050,"Air moved by a jab or cross. Short, dry, no tail. The sound of missing."
Whoosh_Heavy,/Game/Audio/Combat/S_Whoosh_Heavy.S_Whoosh_Heavy,Effects,0.70,0.90,1.04,True,0.05,0.100,"A hook, kick or knee cutting air. Lower and longer than the light one; the wind-up should be audible."
Hit_Light,/Game/Audio/Combat/S_Hit_Light.S_Hit_Light,Effects,0.85,0.95,1.07,True,0.04,0.048,"Fist on body, jab or cross. A slap with weight behind it, not a movie punch. Dry."
Hit_Heavy,/Game/Audio/Combat/S_Hit_Heavy.S_Hit_Heavy,Effects,1.00,0.92,1.03,True,0.06,0.052,"Hook, kick or knee landing. Deep, with a crack on top. This is the one the player waits for."
Hit_Knockdown,/Game/Audio/Combat/S_Hit_Knockdown.S_Hit_Knockdown,Effects,1.00,0.94,1.02,True,0.10,0.056,The blow that puts someone down. Heavier than Hit_Heavy and followed by the body hitting the ground.
Block,/Game/Audio/Combat/S_Block.S_Block,Effects,0.70,0.96,1.05,True,0.05,0.010,"A strike caught on the forearms. Dull thud, muffled, no crack."
Parry,/Game/Audio/Combat/S_Parry.S_Parry,Effects,0.95,1.00,1.00,True,0.15,0.007,"The perfect guard. Sharp and bright with a short ring -- it has to be unmistakable from Block, because it is the reward."
Rage,/Game/Audio/Combat/S_Rage.S_Rage,Effects,1.00,1.00,1.00,False,0.50,0.150,"The finisher going off. Big, low, room-filling; the one sound allowed to be cinematic."
Hawk_Ignite,/Game/Audio/Combat/S_Hawk_Ignite.S_Hawk_Ignite,Effects,0.80,0.97,1.03,True,0.20,0.060,HAWK FIST lighting up: a whump of flame catching on a fist.
Hawk_Hit,/Game/Audio/Combat/S_Hawk_Hit.S_Hawk_Hit,Effects,1.00,0.95,1.05,True,0.06,0.095,A flaming punch landing. Hit_Heavy with a burst of fire over it.
KO,/Game/Audio/Combat/S_KO.S_KO,Effects,1.00,0.96,1.02,True,0.20,0.081,"A fighter going down for good. Body on ground, then nothing. Not a crowd sound."
Boss_Enrage,/Game/Audio/Combat/S_Boss_Enrage.S_Boss_Enrage,Effects,1.00,1.00,1.00,False,1.00,0.187,"A boss crossing into phase two. A roar, or a breath drawn -- it should make the player step back."
Dash,/Game/Audio/Movement/S_Dash.S_Dash,Effects,0.60,0.95,1.08,True,0.10,0.074,A dodge dash. Feet scraping and a short rush of cloth.
Dash_Leap,/Game/Audio/Movement/S_Dash_Leap.S_Dash_Leap,Effects,0.70,0.96,1.06,True,0.12,0.051,"The dash once DASH LEAP is held: the same scrape, then a beat of nothing before the landing."
Footstep,/Game/Audio/Movement/S_Footstep.S_Footstep,Effects,0.35,0.90,1.10,True,0.08,0.085,One step on the stage floor. Fired from the walk animation's notify. Wide pitch range so a walk cycle never sounds looped.
Land,/Game/Audio/Movement/S_Land.S_Land,Effects,0.55,0.94,1.04,True,0.15,0.015,Feet hitting the ground after a leap or a knockback.
Gate_Strike,/Game/Audio/World/S_Gate_Strike.S_Gate_Strike,Effects,0.85,0.93,1.05,True,0.08,0.086,A strike landing on a shutter or a cracked wall that has not given yet. Metal or stone taking a hit and holding.
Gate_Break,/Game/Audio/World/S_Gate_Break.S_Gate_Break,Effects,1.00,0.97,1.03,True,0.50,0.015,"The third strike: a shutter tearing off its rails, or masonry coming down. Debris after."
Gate_Open,/Game/Audio/World/S_Gate_Open.S_Gate_Open,Effects,0.75,0.98,1.02,True,0.50,0.101,"A ledge climbed, a gap crossed, a locker opened -- the quiet gates. A latch, a scrape, a hand on stone."
Talent_Found,/Game/Audio/World/S_Talent_Found.S_Talent_Found,Interface,1.00,1.00,1.00,False,1.00,0.018,A talent picked up. The biggest UI sound in the game; the world just opened.
Exp_Cache,/Game/Audio/World/S_Exp_Cache.S_Exp_Cache,Interface,0.80,1.00,1.00,False,0.50,0.010,"XP found behind a gate. Smaller than Talent_Found; a reward, not a milestone."
Exit_Travel,/Game/Audio/World/S_Exit_Travel.S_Exit_Travel,Effects,0.80,1.00,1.00,False,1.00,0.200,"Walking out of an area into the next. A door, a step through, a breath of the new place."
Exit_Sealed,/Game/Audio/World/S_Exit_Sealed.S_Exit_Sealed,Effects,0.85,0.98,1.02,False,0.60,0.100,"A route refusing you. Solid and final -- a bolt, a hand on a locked door. Pairs with the SEALED banner."
Wave_Start,/Game/Audio/World/S_Wave_Start.S_Wave_Start,Effects,0.90,1.00,1.00,False,1.00,0.340,"An ambush closing in. Low, rising, short. The arena just locked."
